# other-photos/images MANIFEST
# filename	drive_file_id	size_bytes

LovyRexMaryLove.jpg	1goOvrscAUCnvydzX8WRTB0oUMZzC3cwf	295120
Lovy_Family.jpg	16hqZ1dbCFD0_cyAWUJUvNHg_HtIA3cmg	334448
MarthMaryAndy.jpg	1wf5PbvAadmL-eZCwnQbFqUZ2OQBzwRpi	378299
MarthaAlexSidesLovy.jpg	1BmFdRB5APpxf7fkgPen3iyy4DAzQdC_J	217649
MarthaJean.jpg	1VLQeYvVYJcl7Jf19zOEC1C4xdezHLxU-	341777
MarthaMaryLove.jpg	1BIU4Hopq52v3i6WnFb2qlYTsirx8w8Ui	317204
MaryLove.jpg	1BoBp7Zdr53_QM1c2Pve9DDaLzMpqNyb1	149952
MomDad_Champ.jpg	13OrzmF4NYZh30-p8pLOUFvMp-jUAC40a	427487
OlettaAndSomeone.jpg	14rb0lmwJyQzPOU25Kr_KxAb8UP06r_Cz	336828
OlettaMaryLove.jpg	1D5o1S3rbrsIyj5kCc-9C1nXiKZtqkBoI	498134
PeterDriver.jpg	1qAwlc7moygvdl9Z9-OzbLxJxhc2Uld6P	2378724
WaittsRuth.jpg	1g2-xy5o2HrGSyd4IiVWd7fCJr2rD1wQj	265624
Woman3Kids.jpg	1-UfzMVyLFY8jNTltwihpi7sAZd1WL7KT	317453
09152026.jpg	15C451-ho-10z5Qa5TCrutVERT6Z6M9CD	314487
09152026_001.jpg	10admIEOcvkUjGTHV6X1Hptvr0hHa5QPj	282050
09152026_002.jpg	10ov6xwUhiakWs0zOQuGLXAzofLIf6sI2	239051
09152026_003.jpg	1R5UU8C1I1o-VsR2N08e_Ea-avy53NO1b	325815
09152026_004.jpg	1gufUnw8hHfMvSR74kYmrBWncp72gCgjz	205314
09152026_005.jpg	1VxK-2PNKOqU2Gr9oLUOj8jYdO4H70IQ5	336376
09152026_006.jpg	1Zm-JUTcp-qdJumTN9VBEFNAVxGbztz9X	212921
09152026_009.jpg	1KXc6i_pM21e2sWZZg2vYxsfOmk0AQKF5	436780
09152026_010.jpg	1sG5tW4ss-9TCujQZh7VmgeBN2pbNwjgq	190263
09152026_011.jpg	1-JPkFUUvb_cROY8_W-Rh2mwnWzpCsOG9	429923
